id (from)	id(to)	distance
5	1936	0,32
1936	1079	0,81
1079	60	0,16
60	2012	0,36
2012	209	0,52
209	318	0,10
318	2555	0,81
2555	573	0,17
573	1198	0,96
1198	1705	1,76
1705	2746	0,63
2746	282	1,30
282	2338	0,32
2338	1189	0,88
1189	626	0,72
626	183	0,12
183	1776	0,89
1776	2407	0,06
2407	1777	0,10
1777	1110	0,07
1110	2362	0,19
2362	1402	0,31
1402	867	0,78
867	1884	0,21
1884	600	0,25
600	180	0,24
180	723	1,00
723	767	0,15
767	2072	1,53
2072	333	0,46
333	2480	0,90
2480	1481	0,71
1481	456	0,48
456	2134	0,07
2134	691	0,11
691	2807	0,06
2807	602	0,09
602	1915	0,14
1915	1008	0,33
1008	930	0,67
930	1468	0,16
1468	496	0,64
496	2825	0,24
2825	549	0,50
549	2827	0,40
2827	822	0,97
822	2573	0,10
2573	790	0,48
790	745	0,33
745	421	0,95
421	2682	0,99
2682	1153	0,29
1153	2683	0,69
2683	965	1,22
965	948	1,28
948	2076	0,67
2076	459	0,43
459	218	0,11
218	2275	0,21
2275	2366	0,88
2366	2318	0,42
2318	853	0,78
853	277	0,49
277	2901	0,60
2901	1218	1,29
1218	1614	0,26
1614	899	0,80
899	191	1,29
191	1896	1,78
1896	1173	0,19
1173	2842	0,69
2842	300	0,51
300	446	3,56
446	1682	1,59
1682	936	1,89
936	73	1,42
73	2482	1,99
2482	1044	0,69
1044	77	0,58
77	2778	2,46
2778	1598	0,76
1598	974	1,43
974	2433	3,73
2433	1525	8,71
1525	380	10,43
380	2101	14,94
2101	1212	5,66
1212	1381	12,67
1525	1576	15,96
1576	375	5,89
375	1535	1,59
