1576	Lyon (Frankreich)	45.45	4.51
790	Friedrichstadt (Schleswig-Holstein)	54.22	9.05
2101	Raqqa (Syrien)	35.57	39.03
2338	Schwabach (Bayern)	49.20	11.02
380	Braila (Rumänien)	45.17	27.58
974	Güssing (Burgenland)	47.04	16.20
2275	Schafstädt (Sachsen-Anhalt)	51.23	11.46
2012	Pfullendorf (Baden-Württemberg)	47.55	9.15
2518	Taipeh (Taiwan)	25.03	121.30
2682	Visselhövede (Niedersachsen)	52.59	9.36
2825	Wildeshausen (Niedersachsen)	52.54	8.26
1153	Hoya (Niedersachsen)	52.48	9.09
1705	Moosburg an der Isar (Bayern)	48.28	11.56
209	Bad Schussenried (Baden-Württemberg)	48.01	9.39
948	Großenehrich (Thüringen)	51.15	10.50
77	Annaberg-Buchholz (Sachsen)	50.34	13.00
191	Bad Neustadt an der Saale (Bayern)	50.20	10.13
1402	Lambrecht (Pfalz) (Rheinland-Pfalz)	49.22	8.04
1110	Hirschhorn (Neckar) (Hessen)	49.27	8.54
1079	Herisau (Schweiz)	47.24	9.16
1198	Isny im Allgäu (Baden-Württemberg)	47.42	10.02
5	Aarau (Schweiz)	47.23	8.03
2901	Zahna (Sachsen-Anhalt)	51.55	12.47
2573	Tönning (Schleswig-Holstein)	54.19	8.57
602	Dortmund (Nordrhein-Westfalen)	51.31	7.27
1138	Hongkong (China)	22.17	114.09
899	Goldkronach (Bayern)	50.01	11.41
375	Boulogne (Frankreich)	50.43	1.37
1189	Iphofen (Bayern)	49.41	10.17
463	Cagayan De Oro (Philippinen)	8.29	124.40
1598	Mank (Niederösterreich)	48.06	15.20
573	Dillingen an der Donau (Bayern)	48.34	10.29
2555	Thannhausen (Bayern)	48.17	10.28
2807	Wetter (Ruhr) (Nordrhein-Westfalen)	51.23	7.24
2076	Quedlinburg (Sachsen-Anhalt)	51.47	11.09
180	Bad Liebenzell (Baden-Württemberg)	48.46	8.44
318	Biberach an der Riß (Baden-Württemberg)	48.06	9.48
1915	Oer-Erkenschwick (Nordrhein-Westfalen)	51.38	7.15
1896	Oberursel (Taunus) (Hessen)	50.12	8.35
549	Delmenhorst (Niedersachsen)	53.03	8.37
2842	Wirges (Rheinland-Pfalz)	50.28	7.48
1218	Johanngeorgenstadt (Sachsen)	50.26	12.44
2746	Wasserburg am Inn (Bayern)	48.04	12.14
2407	Sinsheim (Baden-Württemberg)	49.15	8.53
2134	Remscheid (Nordrhein-Westfalen)	51.11	7.12
2072	Püttlingen (Saarland)	49.17	6.53
1381	Kuwait City (Kuwait)	29.20	47.59
1173	Idstein (Hessen)	50.14	8.16
853	Genthin (Sachsen-Anhalt)	52.24	12.10
1016	Harbin (China)	45.45	126.41
